name,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_rush_yd,proj_rec_yd,proj_pass_td,proj_rush_td,proj_rec_td,proj_int,proj_fum,team,games_played,fantasy_points
A.J. Brown,0.0,0.0,121.87,0.0,0.0,1118.72,0.0,0.0,8.06,0.0,0.0,PHI,18,160.23200000000003
AJ Barner,0.0,3.98,44.51,0.0,8.37,180.1,0.0,0.0,6.26,0.0,0.0,SEA,18,56.407000000000004
AJ Dillon,0.0,45.73,0.0,0.0,140.34,0.0,0.0,0.0,0.0,0.0,0.0,PHI,17,14.034
Aaron Jones,0.0,226.17,66.3,0.0,933.52,411.67,0.0,4.87,5.07,0.0,0.53,MIN,18,193.099
Aaron Rodgers,583.53,25.5,0.0,4270.96,137.54,0.0,34.29,0.0,0.0,7.3,0.27,PIT,18,306.6123999999999
Adam Thielen,0.0,0.0,111.93,0.0,0.0,1103.57,0.0,0.0,12.44,0.0,0.0,MIN,18,184.997
Adam Trautman,0.0,0.0,27.93,0.0,0.0,127.69,0.0,0.0,2.31,0.0,0.0,DEN,18,26.628999999999998
Adonai Mitchell,0.0,3.67,47.21,0.0,-24.21,344.31,0.0,0.0,0.0,0.0,0.17,IND,18,31.670000000000005
Aidan O'Connell,542.48,88.55,0.0,3971.55,90.82,0.0,16.61,5.47,0.0,7.35,0.65,LVR,18,251.204
Alec Ingold,0.0,6.7299999999999995,23.07,0.0,28.41,67.73,0.0,0.0,0.0,0.0,0.0,MIA,18,9.614
Alec Pierce,0.0,0.0,91.27,0.0,0.0,877.79,0.0,0.0,6.5,0.0,0.0,IND,18,126.779
Alexander Mattison,0.0,171.23,77.6,0.0,519.0,292.04,0.0,5.73,0.0,0.0,0.36,MIA,18,114.76400000000001
Allen Lazard,0.0,0.0,62.629999999999995,0.0,0.0,213.97,0.0,0.0,0.0,0.0,0.0,NYJ,18,21.397000000000002
Alvin Kamara,0.0,252.19,81.25,0.0,958.98,556.97,0.0,4.29,4.23,0.0,0.0,NOR,18,202.71500000000003
Amon-Ra St. Brown,0.0,2.75,165.84,0.0,14.89,1418.45,0.0,0.0,10.36,0.0,0.1,DET,18,205.294
Andrei Iosivas,0.0,0.0,71.54,0.0,0.0,734.39,0.0,0.0,5.74,0.0,0.0,CIN,18,107.879
Andrew Beck,0.0,0.0,18.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,18,0.0
Andrew Ogletree,0.0,0.0,21.35,0.0,0.0,106.11,0.0,0.0,0.0,0.0,0.0,IND,18,10.611
Anthony Gould,0.0,0.0,17.35,0.0,0.0,388.42,0.0,0.0,0.0,0.0,0.0,IND,18,38.842000000000006
Anthony Richardson,434.84000000000003,156.6,4.49,2691.6,1013.7,-4.38,13.03,15.54,0.0,24.08,0.48,IND,18,304.83600000000007
Antonio Gibson,0.0,123.00999999999999,23.330000000000002,0.0,587.16,136.1,0.0,2.83,0.0,0.0,0.18,NWE,18,88.946
Ashton Dulin,0.0,14.56,6.67,0.0,194.88,0.0,0.0,0.0,0.0,0.0,0.0,IND,18,19.488
Ashton Jeanty,0.0,357.1,31.4,0.0,736.91,31.98,0.0,22.72,0.0,0.0,0.0,LVR,17,213.209
Austin Ekeler,0.0,114.33,73.41,0.0,398.71999999999997,626.46,0.0,4.19,0.0,0.0,0.31,WAS,18,127.038
Austin Hooper,0.0,0.0,59.95,0.0,0.0,637.65,0.0,0.0,3.65,0.0,0.11,NWE,18,85.445
Baker Mayfield,611.54,49.46,0.0,5009.83,363.76,0.0,49.59,1.46,0.0,12.7,0.8600000000000001,TAM,18,416.7692
Ben Sims,0.0,0.0,15.76,0.0,0.0,31.759999999999998,0.0,0.0,0.0,0.0,0.0,GNB,18,3.176
Ben Sinnott,0.0,0.0,18.84,0.0,0.0,114.56,0.0,0.0,0.0,0.0,0.0,WAS,18,11.456000000000001
Ben Skowronek,0.0,0.0,22.75,0.0,0.0,379.31,0.0,0.0,5.13,0.0,0.0,PIT,18,68.71100000000001
Ben VanSumeren,0.0,0.0,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,18,0.0
Bhayshul Tuten,0.0,48.06,0.0,0.0,174.13,0.0,0.0,0.0,0.0,0.0,0.0,JAX,17,17.413
Bijan Robinson,0.0,350.53,75.55,0.0,1563.73,553.72,0.0,17.78,3.54,0.0,0.3,ATL,18,339.06500000000005
Blake Corum,0.0,70.08,11.47,0.0,221.51,88.27,0.0,0.0,0.0,0.0,0.0,LAR,18,30.978
Blake Whiteheart,0.0,0.0,17.64,0.0,0.0,107.78999999999999,0.0,0.0,0.0,0.0,0.0,CLE,18,10.779
Bo Nix,629.29,97.03,0.38,3862.33,343.95,0.73,34.56,0.0,0.35,18.07,0.88,DEN,18,291.4012000000001
Braelon Allen,0.0,91.07000000000001,18.8,0.0,288.1,131.9,0.0,3.65,0.0,0.0,0.0,NYJ,18,63.9
Brandin Cooks,0.0,0.0,92.08,0.0,0.0,600.58,0.0,0.0,4.85,0.0,0.0,NOR,18,89.158
Brandon Allen,233.79,14.620000000000001,0.0,1507.1,35.69,0.0,6.71,0.0,0.0,16.95,1.15,TEN,18,54.493
Breece Hall,0.0,237.34,61.41,0.0,1140.49,446.98,0.0,5.0600000000000005,1.35,0.0,0.19,NYJ,18,196.82700000000003
Brenton Strange,0.0,0.0,66.24,0.0,0.0,546.48,0.0,0.0,0.0,0.0,0.14,JAX,18,54.368
Brevyn Spann-Ford,0.0,0.0,30.38,0.0,0.0,191.39000000000001,0.0,0.0,0.0,0.0,0.0,DAL,18,19.139000000000003
Brian Robinson Jr.,0.0,250.0,35.74,0.0,1046.15,184.85,0.0,3.17,0.0,0.0,0.32,SFO,18,141.48000000000002
Brian Thomas,0.0,8.83,176.78,0.0,103.88,1389.43,0.0,3.12,12.94,0.0,0.0,JAX,18,245.69100000000003
Brock Bowers,0.0,8.74,153.42000000000002,0.0,3.88,1380.92,0.0,0.0,3.13,0.0,0.0,LVR,18,157.26000000000002
Brock Purdy,530.42,70.05,0.0,4364.98,313.71,0.0,27.32,5.91,0.0,22.62,0.14,SFO,18,305.1902
Brock Wright,0.0,0.0,22.21,0.0,0.0,163.06,0.0,0.0,2.5700000000000003,0.0,0.0,DET,18,31.726000000000003
Bryce Oliver,0.0,0.0,25.45,0.0,0.0,258.28000000000003,0.0,0.0,0.0,0.0,0.0,TEN,18,25.828000000000003
Bryce Young,605.86,72.47,0.0,3851.51,517.28,0.0,26.62,6.72,0.0,11.6,0.91,CAR,18,327.56840000000005
Bucky Irving,0.0,260.90999999999997,60.63,0.0,1275.74,538.09,0.0,5.06,3.09,0.0,0.0,TAM,18,230.283
C.J. Stroud,515.21,58.96,0.38,3285.7200000000003,285.9,0.0,16.26,0.0,0.0,15.610000000000001,0.22,HOU,18,193.39880000000002
Cade Otton,0.0,0.0,81.02,0.0,0.0,522.5,0.0,0.0,0.73,0.0,0.0,TAM,18,56.63
Cade Stover,0.0,0.0,38.7,0.0,0.0,184.60999999999999,0.0,0.0,2.11,0.0,0.0,HOU,18,31.121
Caleb Williams,577.52,92.13,0.0,3643.13,656.54,0.0,25.99,4.12,0.0,0.34,0.94,CHI,18,337.49920000000003
Calvin Austin III,0.0,0.0,76.37,0.0,0.0,759.89,0.0,0.0,3.8000000000000003,0.0,0.0,PIT,18,98.789
Calvin Ridley,0.0,5.33,133.28,0.0,63.84,1142.74,0.0,0.0,3.87,0.0,0.0,TEN,18,143.878
Cam Grandy,0.0,0.0,25.61,0.0,0.0,151.97,0.0,0.0,0.0,0.0,0.0,CIN,18,15.197000000000001
Cam Skattebo,0.0,30.71,32.089999999999996,0.0,-45.35,190.13,0.0,0.0,0.0,0.0,0.0,NYG,17,14.478000000000002
Cam Ward,503.7,0.0,0.0,1992.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,17,79.6816
Casey Washington,0.0,0.0,83.72,0.0,0.0,424.74,0.0,0.0,0.0,0.0,0.0,ATL,18,42.474000000000004
Cedric Tillman,0.0,0.0,127.89,0.0,0.0,833.13,0.0,0.0,9.95,0.0,0.28,CLE,18,142.453
CeeDee Lamb,0.0,6.8100000000000005,183.4,0.0,28.48,1666.25,0.0,0.0,5.2,0.0,0.0,DAL,18,200.673
Charlie Kolar,0.0,0.0,18.75,0.0,0.0,103.66,0.0,0.0,0.0,0.0,0.0,BAL,18,10.366
Charlie Woerner,0.0,0.0,28.84,0.0,0.0,93.04,0.0,0.0,0.0,0.0,0.0,ATL,18,9.304
Chase Brown,0.0,335.15,80.66,0.0,1241.21,518.27,0.0,6.68,4.36,0.0,0.0,CIN,18,242.18800000000002
Chigoziem Okonkwo,0.0,2.95,117.53,0.0,49.01,765.44,0.0,0.0,1.12,0.0,0.0,TEN,18,88.165
Chimere Dike,0.0,17.23,18.009999999999998,0.0,151.15,0.0,0.0,0.0,0.0,0.0,0.0,TEN,17,15.115000000000002
Chris Brooks,0.0,41.75,17.6,0.0,194.29,84.36,0.0,3.69,0.0,0.0,0.0,GNB,18,50.005
Chris Manhertz,0.0,0.0,16.98,0.0,0.0,185.23,0.0,0.0,1.72,0.0,0.0,NYG,18,28.843
Chris Olave,0.0,0.0,209.56,0.0,0.0,904.79,0.0,0.0,0.0,0.0,0.0,NOR,18,90.479
Chris Rodriguez,0.0,79.62,5.25,0.0,364.7,65.33,0.0,6.27,0.0,0.0,0.0,WAS,18,80.62299999999999
Christian McCaffrey,0.0,308.33,108.61,0.0,1212.36,784.62,0.0,0.0,0.0,0.0,0.22,SFO,18,199.25799999999998
Christian Watson,0.0,10.31,66.45,0.0,109.38,888.11,0.0,0.0,0.0,0.0,0.2,GNB,18,99.349
Chuba Hubbard,0.0,334.19,80.9,0.0,1421.88,300.22,0.0,12.450000000000001,4.32,0.0,0.19,CAR,18,272.45000000000005
Cody White,0.0,0.0,54.16,0.0,0.0,786.98,0.0,0.0,0.0,0.0,0.0,SEA,18,78.69800000000001
Colby Parkinson,0.0,0.0,32.07,0.0,0.0,110.72,0.0,0.0,0.96,0.0,0.19,LAR,18,16.452
Cole Kmet,0.0,0.0,59.18,0.0,0.0,441.24,0.0,0.0,4.07,0.0,0.0,CHI,18,68.54400000000001
Colston Loveland,0.0,0.0,32.16,0.0,0.0,189.38,0.0,0.0,0.0,0.0,0.0,CHI,17,18.938
Connor Heyward,0.0,0.0,18.27,0.0,0.0,106.73,0.0,0.0,0.0,0.0,0.0,PIT,18,10.673000000000002
Cooper Kupp,0.0,0.0,93.36,0.0,0.0,678.47,0.0,0.0,6.44,0.0,0.06,SEA,18,106.367
Cooper Rush,610.36,51.8,0.0,4097.97,28.47,0.0,29.07,0.0,0.0,10.47,0.77,BAL,18,260.56579999999997
Courtland Sutton,0.38,0.0,149.57999999999998,0.73,0.0,1107.56,0.35,0.0,12.09,0.0,0.0,DEN,18,184.7252
Craig Reynolds,0.0,73.86,19.83,0.0,366.96000000000004,257.65,0.0,0.0,0.0,0.0,0.0,DET,18,62.461000000000006
Curtis Samuel,0.0,8.36,49.85,0.0,32.21,246.94,0.0,0.0,2.08,0.0,0.0,BUF,18,40.395
D'Andre Swift,0.0,247.95,56.67,0.0,901.13,345.96,0.0,0.19,0.0,0.0,0.0,CHI,18,125.849
D'Wayne Eskridge,0.0,0.0,27.21,0.0,0.0,152.24,0.0,0.0,0.0,0.0,0.0,MIA,18,15.224000000000002
D.J. Moore,1.25,27.59,142.79,0.0,139.02,1078.17,0.0,0.0,3.18,0.0,0.21000000000000002,CHI,18,140.37900000000002
D.K. Metcalf,0.0,0.0,105.98,0.0,0.0,1058.46,0.0,0.0,3.16,0.0,0.0,PIT,18,124.80600000000001
DJ Giddens,0.0,205.04,0.0,0.0,738.15,0.0,0.0,0.0,0.0,0.0,0.0,IND,17,73.815
Dak Prescott,584.35,23.33,0.0,3355.6,126.8,0.0,0.8,0.0,0.0,0.0,0.0,DAL,18,150.10399999999998
Dallas Goedert,0.0,0.0,95.26,0.0,0.0,681.19,0.0,0.0,4.74,0.0,0.1,PHI,18,96.35900000000001
Dalton Kincaid,0.0,0.0,88.76,0.0,0.0,589.03,0.0,0.0,4.35,0.0,0.32,BUF,18,84.363
Dalton Schultz,0.0,0.0,91.34,0.0,0.0,509.46000000000004,0.0,0.0,4.87,0.0,0.0,HOU,18,80.166
Dameon Pierce,0.0,41.0,6.76,0.0,97.23,2.31,0.0,0.0,0.0,0.0,0.0,HOU,18,9.954
Daniel Bellinger,0.0,0.0,49.69,0.0,0.0,383.36,0.0,0.0,0.0,0.0,0.0,NYG,18,38.336000000000006
Daniel Jones,523.6,125.42,0.0,4173.76,534.29,0.0,15.36,27.77,0.0,6.89,0.08,IND,18,434.4994
Dare Ogunbowale,0.0,19.9,20.49,0.0,192.85,98.75999999999999,0.0,0.0,0.0,0.0,0.27999999999999997,HOU,18,28.601000000000003
Darius Slayton,0.0,3.0,47.02,0.0,19.51,281.5,0.0,0.0,3.17,0.0,0.0,NYG,18,49.121
Darnell Mooney,0.0,0.0,93.58,0.0,0.0,1001.16,0.0,0.0,0.03,0.0,0.0,ATL,18,100.296
Darnell Washington,0.0,0.0,31.56,0.0,0.0,205.87,0.0,0.0,0.0,0.0,0.0,PIT,18,20.587000000000003
Davante Adams,0.0,0.0,182.72,0.0,0.0,1477.6100000000001,0.0,0.0,10.77,0.0,0.0,LAR,18,212.38100000000003
David Martin-Robinson,0.0,0.0,19.14,0.0,0.0,64.78999999999999,0.0,0.0,0.0,0.0,0.0,TEN,18,6.478999999999999
David Montgomery,0.0,201.43,67.99,0.0,703.36,487.09,0.0,8.5,0.0,0.0,0.0,DET,18,170.04500000000002
David Moore,0.0,3.47,85.42,0.0,0.0,615.56,0.0,0.0,5.62,0.0,0.0,CAR,18,95.276
David Njoku,0.0,0.0,171.48,0.0,0.0,826.84,0.0,0.0,6.89,0.0,0.0,CLE,18,124.024
Davis Allen,0.0,0.0,32.91,0.0,0.0,137.26,0.0,0.0,6.23,0.0,0.0,LAR,18,51.106
Davis Mills,16.33,0.0,0.0,79.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,18,3.1995999999999998
Dawson Knox,0.0,0.0,44.2,0.0,0.0,416.09000000000003,0.0,0.0,0.0,0.0,0.0,BUF,18,41.60900000000001
De'Von Achane,0.0,211.8,97.8,0.0,966.19,636.1,0.0,7.03,7.84,0.0,0.18,MIA,18,249.089
DeAndre Carter,0.0,0.0,17.64,0.0,0.0,88.78,0.0,0.0,0.0,0.0,0.0,CLE,18,8.878
DeAndre Hopkins,0.0,0.0,97.41,0.0,0.0,718.78,0.0,0.0,7.35,0.0,0.0,BAL,18,115.978
DeVonta Smith,0.0,2.43,118.62,0.0,2.27,1105.63,0.0,0.0,11.25,0.0,0.0,PHI,18,178.29000000000002
